Name,Address,City,Country,Latitude,Longitude
Druni Meritxell,av meritxell 77,Andorra,Andorra,42.5083405,1.5266389
PERFUMERIES JÚLIA C lIlla Carlemany, Av Carlemany 70,Escaldes Engordany,Andorra,42.50888945,1.5347287203188107
Rituals Gerasdorf G3 Shopping Resort,G3 Platz 1,Gerasdorf,Austria,48.3421566,16.4617548
Rituals Dornbirn EKZ Messepark, Messestraße 2,Dornbirn,Austria,47.4126446,9.711369
Rituals Wien Mitte The Mall, Landstraßer Hauptstraße 1b,Wien,Austria,48.2066279,16.384326255643426
Rituals Imst, Industriezone 32,Imst,Austria,47.219666,10.7352695
Rituals Wörgl M4, Salzburger Straße 32/40,Wörgl,Austria,47.4897187,12.0725396
Rituals Ried Weberzeile,Weberzeile 1,Ried,Austria,48.206225,13.4858075
Rituals Wien Millennium City, Handelskai 94-96,Wien,Austria,48.2409511,16.3859915
Rituals Leoben City, Hauptplatz 19,Leoben,Austria,47.3813808,15.0952652
Rituals Bürs Zimbapark, Almteilweg 1,Bürs,Austria,47.150746749999996,9.8121639655052
Rituals Wien Hauptbahnhof, Am Hauptbahnhof 1,Wien,Austria,48.18542035,16.37506649938272
Rituals Oberwart EO Einkaufszentrum, Europastraße 1,Oberwart,Austria,47.2876819,16.1871114
Rituals Steyr Hey!, Anton-Plochberger-Straße 2,Steyr,Austria,48.047821,14.4214654
Rituals Graz Murpark, Ostbahnstraße 3,Graz-Liebenau,Austria,47.0400873,15.4637562
Rituals Liezen ELI, Salzburger Straße 1,Liezen,Austria,47.5612811,14.2455488
Rituals Salzburg Europark,Europastraße 1,Salzburg,Austria,47.8154614,13.0061958
Rituals Wien Huma Eleven, Landwehrstraße 6,Wien,Austria,48.170076,16.4733188
Rituals Wiener Neustadt Fischapark,Wiener Neustadt Zehnergürtel 12 - 24,Wiener Neustadt,Austria,47.8195566,16.2184281
Rituals Villach Atrio Shopping Center, Kärntner Straße 34,Villach,Austria,46.5959177,13.8371513
