Name;Address;City
AURANTIUM;MARTELARENSTRAAT 32;AARSCHOT 
SALON DAEMS;LINDELEI 9;AARTSELAAR 
HAARSTUDIO SCISSORS;BURGEMEESTER P. KROMPLEIN 2;ABBEKERK 
MÖBIUS GMBH;HAMBURGER STRASSE 31;AHRENSBURG 
BY IMOGEN ALKMAAR;GEDEMPTE NIEUWESLOOT 66;ALKMAAR 
XXPERIENCE SALON & SPA;VOORDAM 10;ALKMAAR 
ADILA HAIR & BEAUTY;GILCHINGER STRASSE 3;ALLING 
LIFESTYLE SALON LILOU;GROTE HAAG 6;AMERSFOORT 
MARCO S HAIR - BEAUTY;IJBURGLAAN 1293;AMSTERDAM 
DAVE HAIRCREATIONS;HOGEWEG 20;AMSTERDAM 
HB HAIRSTYLERS;STRAWINKSKYLAAN 71;AMSTERDAM 
STUDIO CLEO;UTRECHTSESTRAAT 46;AMSTERDAM 
NEXT;SINT ANTONIEBREESTRAAT 126;AMSTERDAM 
THE HAIRCOMPANY;SINT ANTHONIEBREESTRAAT 124;AMSTERDAM 
SNAP STUDIO;KROM BOOMSLOOT 14;AMSTERDAM 
THIS IS NIKA;KERKSTRAAT 144;AMSTERDAM 
HEALTH QUEST;SPIEGELGRACHT 4;AMSTERDAM 
MW KAPPERS;STROMARKT 11;AMSTERDAM 
IINN SUSTAINABLE BEAUTY;SINGEL 00188 H;AMSTERDAM 
CELTIC CUTS;BROUWERSGRACHT 234 A;AMSTERDAM 
STUDIO THE BUBBLE;BANKASTRAAT 42 H;AMSTERDAM 
ECLIPZ STUDIO;JAN VAN GALENSTRAAT 110H;AMSTERDAM 
SOMA HAIR ARTIST;SLOTERWEG 1254;AMSTERDAM 
MONA ANTWERPEN;WIJNGAARDSTRAAT 12;ANTWERPEN 
SOAP;PLANTIJNKAAI 13;ANTWERPEN 
SCHOONHEIDSSALON MARIANNE;ALBERT CLAUDESTRAAT 12/5;ANTWERPEN 
KAPPER WENGE;LANGE LOZANASTRAAT 64;ANTWERPEN 
REUVERS BY H2R;LOOLAAN 31;APELDOORN 
HEDS;KORTESTRAAT 5;ARNHEM 
STUDIO 57;KONINGSTRAAT 57;ARNHEM 
HANAA TOPCU;SANDGASSE 25;ASCHAFFENBURG 
HANAA TOPCU;SANDGASSE 25;ASCHAFFENBURG 
WALDSALON;EICHENSTRASSE 5a;ASENDORF 
HAIR DESIGN AUGSBURG ONLINE;MAXIMILIANSTRASSE 65;AUGSBURG 
Hair Design;MAXIMILIANSTRASSE 65;AUGSBURG 
FRISÖR ARMIN SCHMIDT;SCHERTLINSTR. 21;AUGSBURG 
HAARSTUDIO DUPLOIS GMBH BAD VILBEL;FRANKFURTER STRASSE 39;BAD VILBEL 
BLOND;SULINGER STR. 11a;BASSUM 
BLOSSOM;BERLINER STRASSE 31;BEESKOW 
BY IMOGEN BERGEN;STATIONSSTRAAT 4;BERGEN 
FREESTYLE;GLADBACHER STRASSE 2-4;BERGISCH GLADBACH 
AYLIN KAZRONI STUDIO;ROSA-LUXEMBURG-STR. 18;BERLIN 
KOPFKUNST-FRISEUR;SCHÜTZENSTRASSE 11;BERLIN 
FINE & DANDY KLEINE SCHWESTER;ACKERSTRASSE 156;BERLIN 
Anna S.;WÖRTHER STRASSE 36;BERLIN 
HI HAWAII;ODERBERGER STRASSE 20;BERLIN 
FRÄULEIN SCHNEIDER;ODERBERGER STRASSE 37;BERLIN 
FINE & DANDY;LYCHENER STRASSE 43;BERLIN 
HERR UND FRAU KNORKE;PLANUFER 92c;BERLIN 
Schnittstelle;BERGMANNSTRASSE 108;BERLIN 
SHIFT HAIRCARE;HAUPTSTRASSE 27 / HOF 1;BERLIN 
3v for hair;RANKESTRASSE 24;BERLIN 
AVEDA LIFESTYLE SALON;KURFÜRSTENDAMM 26 A;BERLIN 
MOLAR;BLEIBTREUSTRASSE 4;BERLIN 
CIBARDOT;KONSTANZER STRASSE 4;BERLIN 
Haarmoden Strauch;MARIENDORFER DAMM 126;BERLIN 
Annett Liebers;TRESKOWALLEE 90;BERLIN 
HAARSYMPHONIE BERLIN;KÖPENICKER STRASSE 194;BERLIN 
MAIGRÜN FRISEUR BERLIN;OBERHOFER WEG 9;BERLIN 
PHÖNIX HAARSALON;DORFSTRASSE 13;BERLIN 
mycora friseure;CLAYALLEE 321;BERLIN 
KÖPFE VON BARBARA W.;OBERBEXBACHERSTR. 3;BEXBACH 
BASLERBEAUTY ONLINE;GUSTAV-RAU-STRASSE 32;BIETIGHEIM 
BASLERBEAUTY ONLINE;GUSTAV-RAU-STRASSE 32;BIETIGHEIM 
GERHARD HENKEL;LINDAUER STRASSE 22;BOBINGEN 
PUR HAAR;BREMER STRASSE 56;BOHMTE 
LAURENT MATTISS;MECHELSESTEENWEG 286;BONHEIDEN 
ALINK INTERHAIR BORNE;STATIONSTRAAT 18;BORNE 
MACHOI FÜR HAAR UND HAUT;HEINRICH ZIEGLER STR. 3;BRAUNFELS 
MACHOI FÜR HAAR UND HAUT;HEINRICH ZIEGLER STR. 3;BRAUNFELS 
SALON AM BANKPLATZ;BANKPLATZ 3-4;BRAUNSCHWEIG 
SALON AM BANKPLATZ;BANKPLATZ 3-4;BRAUNSCHWEIG 
HAIRS AHEAD KAPPERS;GENERAAL MACZEKSTRAAT 32;BREDA 
JETZT ICH NICOLE DRESSLER;AN DER B100 18;BREHNA 
gülyundpierre;SCHWACHHAUSER HEERSTRASSE 78 A;BREMEN 
INTERCOIFFURE ANDRÉ MAIRE;HAMBURGER STRASSE 181;BREMEN 
LIPP & LANGEWORTH GBR;VOR DEM STEINTOR 166-168;BREMEN 
LULU DIAS;OSTERTORSTEINWEG 78;BREMEN 
STYLE HEAVEN BRETTEN;PFORZHEIMER STRASSE 47;BRETTEN 
ALAIN DUPONT;AVENUE GEORGES HENRI 322;BRUXELLES 
LOFT LIFESTYLE SALON;HERENSTRAAT 49;BUSSUM 
CLOUD NINE HOLISTIC BEAUTY;HERENSTRAAT 49;BUSSUM 
HAIR TEAM UBACHS;RAADHUISPLEIN 11;CADIER EN KEER 
PATRICK BOOTS KAPPERS;BURG. MOOIJSTRAAT 18;CASTRICUM 
MARLOES HAIRSTYLING;WILLEM ALEXANDERWEG 77C;COTHEN 
ESJOTT DER FRISEUR;UFERSTR. 1;COTTBUS 
HAIRDRESSERS & BEAUTY;HESSENHOF 3;DE BILT 
LS. THE HAGUE HAIR;DENNEWEG 56;DEN HAAG 
JENNY S HAARSTUDIO;STEVINSTRAAT 88;DEN HAAG 
PURE NATURE;OUDE VEST 160;DENDERMONDE 
ILSE BALTUSSEN;RIJNENBERGHOF 21;DIEREN 
MARDI KAPPERS;HOUTKAMPSTRAAT 33;DOETINCHEM 
ROBERT HÖLLIGE;PFLEGSTRASSE 11;DONAUWÖRTH 
RÖLL FRISEURE DREIEICH;ROBERT-BOSCH-STRASSE 5 HAUS B;DREIEICH 
BREUNINGER GMBH & CO. DÜSSELDORF;KÖNIGSALLEE 2;DÜSSELDORF 
AUTHENTIC klaus fries;BENRATHER STR. 10;DÜSSELDORF 
LAURA NIX DÜSSELDORF;GRAFENBERGER ALLEE 413;DÜSSELDORF 
Frahm & Company;GÖRRESSTR. 1;DÜSSELDORF 
FRAHM & COMPANY ONLINE;GÖRRESSTR. 1;DÜSSELDORF 
HEADMASTERS;PRINSES BEATRIXSTRAAT 47;ECK EN WIEL 
HAIR & ART BY FRANKY;KLADDENBERGSTRAAT 5;EDEGEM 
FACES KAPPERS;CLAUSPLEIN 2;EINDHOVEN 
Cabello Friseure;PINNEBERGER STRASSE 155;ELLERBECK 
BRAAM & OORTMANN HAIR AND SKIN;MOLENSTRAAT 20;EMMEN 
MUFIDE HAIR & SPA;VAN LOENSHOF 10;ENSCHEDE 
RYF COIFFEUR GMBH;ELSA-BRANDSTRÖM-STRASSE 1A;ERFTSTADT 
SUITE 406 ISABELL JUNG;MICHAELISSTRASSE 44;ERFURT 
Rund Hair Um;BARFÜSSER STRASSE 3;ERFURT 
Sonntag Lifestyle & Spa;NEUWERKSTRASSE 29;ERFURT 
midori – Salon und Spa;FUCHSENGARTEN 3;ERLANGEN 
FRANK SALOME;STATIONSSTRAAT 32;ERMELO 
H+ FRISUREN;EINGANG TEICHSTRASSE / AKAZIENALLEE;ESSEN 
PAINTBOX GMBH;RÜTTENSCHEIDER STRASSE 65;ESSEN 
TALKING HEADS;BREDENEYER STRASSE 8A;ESSEN 
CP COIFFURES;LANGE BRUGSTRAAT 1A;ETTEN LEUR 
