Name;Address;Postal Code;City;Country;ATV;Customer
Druni Carlemany;AV CARLEMANY 75;AD700;Andorra;Andorra;34;13525
Druni Meritxell;av meritxell 77;ad500;Andorra;Andorra;39;16591
Pyrenees Distribucio S.A.U.;Avenida Meritxell 11;AD500;Andorra la Vella;Andorra;30;19490
PERFUMERIES JÚLIA C l’Illa Carlemany; Av Carlemany 70;AD700;Escaldes Engordany;Andorra;41;12791
Julia Pas de la Casa;Avenida Encamp 4;AD200;Pas de la Casa;Andorra;33;39110
Rituals Gerasdorf G3 Shopping Resort;G3 Platz 1;2201;Gerasdorf;Austria;16;14793
Rituals Dornbirn EKZ Messepark; Messestraße 2;6850;Dornbirn;Austria;30;24912
Rituals Wien Mitte The Mall; Landstraßer Hauptstraße 1b;1030;Wien;Austria;29;13828
Rituals Imst; Industriezone 32;6460;Imst;Austria;28;11407
Rituals Wörgl M4; Salzburger Straße 32/40;6300;Wörgl;Austria;39;18784
Rituals Ried Weberzeile;Weberzeile 1;4910;Ried;Austria;42;36258
Rituals Wien Millennium City; Handelskai 94-96;1200;Wien;Austria;15;19913
Rituals Leoben City; Hauptplatz 19;8700;Leoben;Austria;16;16487
Rituals Bürs Zimbapark; Almteilweg 1;6706;Bürs;Austria;19;25453
Rituals Wien Hauptbahnhof; Am Hauptbahnhof 1;1100;Wien;Austria;46;34408
Rituals Oberwart EO Einkaufszentrum; Europastraße 1;7400;Oberwart;Austria;41;26333
Rituals Steyr Hey!; Anton-Plochberger-Straße 2;4400;Steyr;Austria;23;12231
Rituals Graz Murpark; Ostbahnstraße 3;8041;Graz-Liebenau;Austria;22;10605
Rituals Liezen ELI; Salzburger Straße 1;8940;Liezen;Austria;18;49372
Rituals Salzburg Europark;Europastraße 1;5020;Salzburg;Austria;15;48940
Rituals Wien Huma Eleven; Landwehrstraße 6;1110;Wien;Austria;47;15388
Rituals Wiener Neustadt Fischapark;Wiener Neustadt Zehnergürtel 12 - 24;2700;Wiener Neustadt;Austria;49;15842
Rituals Villach Atrio Shopping Center; Kärntner Straße 34;9500;Villach;Austria;40;40024
Rituals Wien Auhof Center; Albert-Schweizer Gasse 6;1140;Wien;Austria;46;12420
Rituals Seiersberg; Seiersberg 1;8055;Seiersberg-Pirka;Austria;26;24955
Rituals Vöcklabruck Varena; Linzerstraße 50;4840;Vöcklabruck;Austria;44;17077
Rituals Krems Mariandl; Wiener Straße 91;3500;Krems;Austria;24;47973
Rituals Wien Kärntnerstraße;Kärtnerstraße 35;1010;Wien;Austria;46;30096
Rituals Linz Landstraße;Landstraße 22;4020;Linz;Austria;50;40062
Rituals Wien Donauzentrum; Wagramer Str. 81;1220;Wien;Austria;38;28150
Rituals Graz Herrengasse;Herrengasse 28;8010;Graz;Austria;34;46509
Rituals Parndorf Designer Outlet; Designer Outlet Straße 1;7111;Parndorf;Austria;36;46339
Rituals Sankt Pölten Traisenpark; Dr Adolf-Schärf-Straße 5;3107;Sankt Pölten;Austria;45;14286
Rituals Innsbruck Rathaus Galerien; Maria-Theresien-Straße 18;6020;Innsbruck;Austria;47;43973
Rituals Wien Westbahnhof; Europaplatz 2;1150;Wien;Austria;47;13383
Rituals Klagenfurt City Arkaden;Heuplatz. 5;9020;Klagenfurt;Austria;42;13292
Rituals Pasching Plus City; Plus-Kauf-Straße 7;4061;Pasching;Austria;27;43051
Rituals Vösendorf SCS;SCS Straße;2334;Vösendorf;Austria;22;46794
Rituals Wien Mariahilfer Strasse;Wien Mariahilfer Straße 57-59;1070;Wien;Austria;23;28225
Rituals Innsbruck DEZ; Amraser-See-Straße 56a;6020;Innsbruck;Austria;48;38981
Rituals Gent Lange Munt;Lange Munt 46;9000;Gent;Belgium;48;40251
Rituals Tournai;Boulevard Walter de Marvis 22;7500;Tournai;Belgium;40;40268
Rituals Uccle Chaussée d’Alsemberg;Chaussée d’Alsemberg 763;1180;Uccle;Belgium;45;14943
Rituals Antwerpen Meir;Meir 77;2000;Antwerpen;Belgium;50;26273
Rituals Geraardsbergen;Grotestraat 63;9500;Geraardsbergen;Belgium;21;32794
Rituals Luik Rocourt;Chaussée de Tongres 269;4000;Luik;Belgium;20;15626
Rituals Maasmechelen Village;Zetellaan 100;3630;Maasmechelen;Belgium;17;25595
Rituals Brussel Avenue Louise;Avenue Louise 25;1060;Brussel;Belgium;27;47134
Rituals Messancy; Rue d'Arlon 220;6780;Messancy;Belgium;15;28806
Rituals Charleroi Rive Gauche;Place Verte 20;6000;Charleroi;Belgium;40;44246
Rituals Ieper;Boterstraat 26;8900;Ieper;Belgium;23;43303
Rituals Brugge Steenstraat;Steenstraat 48;8000;Brugge;Belgium;19;35547
Rituals La Louvière;Rue de la Franco-Belge 28;7100;La Louvière;Belgium;37;16044
Rituals Lommel;Dorp 23A;3920;Lommel;Belgium;41;11951
Rituals Gent Kalandeberg;Kalandeberg 13;9000;Gent;Belgium;50;26081
Rituals Luik Mediacité;Boulevard Raymond Poincare 7;4020;Luik;Belgium;41;18122
Rituals Oudenaarde;Nederstraat 57;9700;Oudenaarde;Belgium;34;20585
Rituals Uccle;Waterloosesteenweg 1338;1180;Uccle;Belgium;30;16265
Rituals Brussel Rue Neuve;Rue Neuve 35;1000;Brussel;Belgium;34;15898
Rituals Brussel Rue des Tongres;Rue des Tongres 47;1040;Brussel;Belgium;16;23160
Rituals Brussel Avenue de l'Université;Avenue de l'Université 4;1050;Brussel;Belgium;34;22596
Rituals Namur;rue de l'Ange 35-37;5000;Namur;Belgium;18;34322
Rituals Brussel Docks;Boulevard Lambermont 1;1000;Brussel;Belgium;43;43306
Rituals Ninove;Kaardeloodstraat 97;9400;Ninove;Belgium;43;20857
Rituals Woluwe;Sint Lambertusstraat 200;1200;Woluwe;Belgium;24;13071
Rituals Blankenberge;Kerkstraat 79;8370;Blankenberge;Belgium;32;34514
Rituals Waterloo;Chaussé de Bruxelles 175;1410;Waterloo;Belgium;22;49652
Rituals Mons;Place des Grands Pres 1;B-7000;Mons;Belgium;33;39602
Rituals Heist op den Berg;Bergstraat 83;2220;Heist op den Berg;Belgium;25;45953
Rituals Wavre;Rue Pont du Christ 23;1300;Wavre;Belgium;31;10494
Rituals Wijnegem;Turnhoutsebaan 5;2110;Wijnegem;Belgium;34;20740
Rituals Oostende;Kapellestraat 12/14;8400;Oostende;Belgium;16;25419
Rituals Sint Truiden;Luikerstraat 4;3800;St Truiden;Belgium;36;10866
Rituals Roeselare;Ooststraat 59;8800;Roeselare;Belgium;47;15677
Rituals Waregem;Markt 7;8790;Waregem;Belgium;21;29688
Rituals Sint Niklaas Waasland;Waasland shoppingcenter nr 98 Kapelstraat 100;9100;St Niklaas;Belgium;15;37897
Rituals Turnhout;Gasthuisstraat 9;2300;Turnhout;Belgium;18;36407
Rituals Nieuwpoort;Albert I laan 229;8620;Nieuwpoort;Belgium;40;12222
Rituals Nivelles;Chaussee de Mons 18;1400;Nivelles;Belgium;26;39758
Rituals Lier;Antwerpsestraat 26;2500;Lier;Belgium;39;14098
Rituals Mol;Kloosterstraat 1;2400;Mol;Belgium;50;30520
Rituals Louvain la Neuve;Centre Commercial L'Esplanade/ Place de l'Acceuil 10;1348;Louvain-la-Neuve;Belgium;32;21501
Rituals Mechelen;Bruul 41;2800;Mechelen;Belgium;45;47319
Rituals Mortsel;Statielei 49;2640;Mortsel;Belgium;41;32363
Rituals Leuven;Dietsestraat 91;3000;Leuven;Belgium;33;46221
Rituals Luik Pont d'Ile;Pont d'Ile 41-43;4000;Luik;Belgium;43;42813
Rituals Luik Belle Ile; Quai des Vennes 1;4020;Luik;Belgium;50;20871
