freq,unit,geo,2019
A,EUR_HAB,AL,4800
A,EUR_HAB,AL0,4800
A,EUR_HAB,AL01,3900
A,EUR_HAB,AL011,3500
A,EUR_HAB,AL012,4800
A,EUR_HAB,AL013,2900
A,EUR_HAB,AL014,3500
A,EUR_HAB,AL015,3500
A,EUR_HAB,AL02,5800
A,EUR_HAB,AL021,3300
A,EUR_HAB,AL022,6500
A,EUR_HAB,AL03,4400
A,EUR_HAB,AL031,3800
A,EUR_HAB,AL032,5200
A,EUR_HAB,AL033,5000
A,EUR_HAB,AL034,3600
A,EUR_HAB,AL035,4000
A,EUR_HAB,AT,44700
A,EUR_HAB,AT1,44400
A,EUR_HAB,AT11,31400
A,EUR_HAB,AT111,27000
A,EUR_HAB,AT112,34200
A,EUR_HAB,AT113,28400
A,EUR_HAB,AT12,37500
A,EUR_HAB,AT121,35600
A,EUR_HAB,AT122,33100
A,EUR_HAB,AT123,45200
A,EUR_HAB,AT124,32100
A,EUR_HAB,AT125,24700
A,EUR_HAB,AT126,29800
A,EUR_HAB,AT127,54200
A,EUR_HAB,AT13,52400
A,EUR_HAB,AT130,52400
A,EUR_HAB,AT2,40100
A,EUR_HAB,AT21,38200
A,EUR_HAB,AT211,44100
A,EUR_HAB,AT212,29800
A,EUR_HAB,AT213,33900
A,EUR_HAB,AT22,40900
A,EUR_HAB,AT221,52400
A,EUR_HAB,AT222,39500
A,EUR_HAB,AT223,40300
A,EUR_HAB,AT224,32800
A,EUR_HAB,AT225,30700
A,EUR_HAB,AT226,33300
A,EUR_HAB,AT3,47800
A,EUR_HAB,AT31,45700
A,EUR_HAB,AT311,39800
A,EUR_HAB,AT312,56200
A,EUR_HAB,AT313,29400
A,EUR_HAB,AT314,44600
A,EUR_HAB,AT315,42000
A,EUR_HAB,AT32,53300
A,EUR_HAB,AT321,37400
A,EUR_HAB,AT322,46300
A,EUR_HAB,AT323,57400
A,EUR_HAB,AT33,47800
A,EUR_HAB,AT331,49900
A,EUR_HAB,AT332,47400
A,EUR_HAB,AT333,35500
A,EUR_HAB,AT334,49800
A,EUR_HAB,AT335,49500
A,EUR_HAB,AT34,47700
A,EUR_HAB,AT341,51400
A,EUR_HAB,AT342,46600
A,EUR_HAB,BE,41700
A,EUR_HAB,BE1,71700
A,EUR_HAB,BE10,71700
A,EUR_HAB,BE100,71700
A,EUR_HAB,BE2,42200
A,EUR_HAB,BE21,49100
A,EUR_HAB,BE211,50100
A,EUR_HAB,BE212,46800
A,EUR_HAB,BE213,48500
A,EUR_HAB,BE22,33600
A,EUR_HAB,BE223,23900
A,EUR_HAB,BE224,41200
A,EUR_HAB,BE225,29000
A,EUR_HAB,BE23,37900
A,EUR_HAB,BE231,26800
A,EUR_HAB,BE232,28900
A,EUR_HAB,BE233,29300
A,EUR_HAB,BE234,49500
A,EUR_HAB,BE235,32200
A,EUR_HAB,BE236,38000
A,EUR_HAB,BE24,45200
A,EUR_HAB,BE241,50500
A,EUR_HAB,BE242,38400
A,EUR_HAB,BE25,40400
A,EUR_HAB,BE251,42000
A,EUR_HAB,BE252,29000
A,EUR_HAB,BE253,35900
A,EUR_HAB,BE254,44900
A,EUR_HAB,BE255,33200
A,EUR_HAB,BE256,42500
A,EUR_HAB,BE257,43800
A,EUR_HAB,BE258,38000
A,EUR_HAB,BE3,30500
A,EUR_HAB,BE31,56100
A,EUR_HAB,BE310,56100
A,EUR_HAB,BE32,25800
A,EUR_HAB,BE323,27000
A,EUR_HAB,BE328,31600
A,EUR_HAB,BE329,19300
A,EUR_HAB,BE32A,23400
A,EUR_HAB,BE32B,26700
A,EUR_HAB,BE32C,25100
A,EUR_HAB,BE32D,19000
A,EUR_HAB,BE33,29500
A,EUR_HAB,BE331,25400
A,EUR_HAB,BE332,32500
A,EUR_HAB,BE334,19000
A,EUR_HAB,BE335,27300
A,EUR_HAB,BE336,28400
A,EUR_HAB,BE34,25400
A,EUR_HAB,BE341,25200
A,EUR_HAB,BE342,23400
A,EUR_HAB,BE343,30100
A,EUR_HAB,BE344,28900
A,EUR_HAB,BE345,18300
A,EUR_HAB,BE35,27700
A,EUR_HAB,BE351,22700
A,EUR_HAB,BE352,31300
A,EUR_HAB,BE353,19000
A,EUR_HAB,BG,8800
A,EUR_HAB,BG3,6300
A,EUR_HAB,BG31,5400
A,EUR_HAB,BG311,4500
A,EUR_HAB,BG312,4900
A,EUR_HAB,BG313,6800
A,EUR_HAB,BG314,5000
A,EUR_HAB,BG315,5300
A,EUR_HAB,BG32,5900
A,EUR_HAB,BG321,5700
A,EUR_HAB,BG322,7400
A,EUR_HAB,BG323,6600
A,EUR_HAB,BG324,5400
A,EUR_HAB,BG325,4000
A,EUR_HAB,BG33,6800
A,EUR_HAB,BG331,8400
A,EUR_HAB,BG332,5100
A,EUR_HAB,BG333,5200
A,EUR_HAB,BG334,5400
A,EUR_HAB,BG34,6700
A,EUR_HAB,BG341,6900
A,EUR_HAB,BG342,4200
A,EUR_HAB,BG343,5200
A,EUR_HAB,BG344,8400
A,EUR_HAB,BG4,11300
A,EUR_HAB,BG41,14800
A,EUR_HAB,BG411,19800
A,EUR_HAB,BG412,8800
A,EUR_HAB,BG413,5300
A,EUR_HAB,BG414,4800
A,EUR_HAB,BG415,4900
A,EUR_HAB,BG42,6200
A,EUR_HAB,BG421,7400
A,EUR_HAB,BG422,4600
A,EUR_HAB,BG423,5100
A,EUR_HAB,BG424,6000
A,EUR_HAB,BG425,4900
A,EUR_HAB,CH,75200
A,EUR_HAB,CH0,75200
A,EUR_HAB,CH01,72600
A,EUR_HAB,CH011,65800
A,EUR_HAB,CH012,51900
A,EUR_HAB,CH013,97800
A,EUR_HAB,CH02,68000
A,EUR_HAB,CH021,71300
A,EUR_HAB,CH022,54900
A,EUR_HAB,CH023,61300
A,EUR_HAB,CH024,84500
A,EUR_HAB,CH025,62600
A,EUR_HAB,CH03,79800
A,EUR_HAB,CH031,175100
A,EUR_HAB,CH032,65500
A,EUR_HAB,CH033,58600
A,EUR_HAB,CH04,91000
A,EUR_HAB,CH040,91000
A,EUR_HAB,CH05,65400
A,EUR_HAB,CH051,64200
A,EUR_HAB,CH052,79800
A,EUR_HAB,CH053,53100
A,EUR_HAB,CH054,58500
A,EUR_HAB,CH055,69000
A,EUR_HAB,CH056,67600
A,EUR_HAB,CH057,56200
A,EUR_HAB,CH06,72700
A,EUR_HAB,CH061,61800
A,EUR_HAB,CH062,49700
A,EUR_HAB,CH063,55900
A,EUR_HAB,CH064,62500
A,EUR_HAB,CH065,63000
A,EUR_HAB,CH066,142000
A,EUR_HAB,CH07,78900
A,EUR_HAB,CH070,78900
A,EUR_HAB,CY,26300
A,EUR_HAB,CY0,26300
A,EUR_HAB,CY00,26300
A,EUR_HAB,CY000,26300
A,EUR_HAB,CZ,21100
A,EUR_HAB,CZ0,21100
A,EUR_HAB,CZ01,46800
A,EUR_HAB,CZ010,46800
A,EUR_HAB,CZ02,19400
A,EUR_HAB,CZ020,19400
A,EUR_HAB,CZ03,17700
A,EUR_HAB,CZ031,17000
A,EUR_HAB,CZ032,18600
A,EUR_HAB,CZ04,14600
A,EUR_HAB,CZ041,13200
A,EUR_HAB,CZ042,15100
A,EUR_HAB,CZ05,17200
A,EUR_HAB,CZ051,16100
A,EUR_HAB,CZ052,18700
A,EUR_HAB,CZ053,16600
A,EUR_HAB,CZ06,19100
A,EUR_HAB,CZ063,16900
A,EUR_HAB,CZ064,20000
A,EUR_HAB,CZ07,17100
A,EUR_HAB,CZ071,16300
A,EUR_HAB,CZ072,17900
A,EUR_HAB,CZ08,16500
A,EUR_HAB,CZ080,16500
A,EUR_HAB,DE,41800
A,EUR_HAB,DE1,47400
A,EUR_HAB,DE11,53300
A,EUR_HAB,DE111,88100
A,EUR_HAB,DE112,62500
A,EUR_HAB,DE113,43100
A,EUR_HAB,DE114,33700
A,EUR_HAB,DE115,46000
A,EUR_HAB,DE116,36500
A,EUR_HAB,DE117,59000
A,EUR_HAB,DE118,60200
A,EUR_HAB,DE119,52800
A,EUR_HAB,DE11A,46900
A,EUR_HAB,DE11B,41000
A,EUR_HAB,DE11C,38000
A,EUR_HAB,DE11D,46000
A,EUR_HAB,DE12,46000
A,EUR_HAB,DE121,57400
A,EUR_HAB,DE122,68200
A,EUR_HAB,DE123,39300
A,EUR_HAB,DE124,42900
A,EUR_HAB,DE125,58900
A,EUR_HAB,DE126,68300
A,EUR_HAB,DE127,31800
A,EUR_HAB,DE128,38100
A,EUR_HAB,DE129,41500
A,EUR_HAB,DE12A,29900
A,EUR_HAB,DE12B,31500
A,EUR_HAB,DE12C,41200
A,EUR_HAB,DE13,40000
A,EUR_HAB,DE131,55500
A,EUR_HAB,DE132,31200
A,EUR_HAB,DE133,33800
A,EUR_HAB,DE134,42500
A,EUR_HAB,DE135,44600
A,EUR_HAB,DE136,40300
A,EUR_HAB,DE137,51100
A,EUR_HAB,DE138,36400
A,EUR_HAB,DE139,34900
A,EUR_HAB,DE13A,31800
A,EUR_HAB,DE14,45500
A,EUR_HAB,DE141,42100
A,EUR_HAB,DE142,34500
A,EUR_HAB,DE143,36400
A,EUR_HAB,DE144,80400
A,EUR_HAB,DE145,34000
A,EUR_HAB,DE146,55500
A,EUR_HAB,DE147,50900
A,EUR_HAB,DE148,48400
A,EUR_HAB,DE149,38500
A,EUR_HAB,DE2,49200
A,EUR_HAB,DE21,61100
A,EUR_HAB,DE211,137600
A,EUR_HAB,DE212,84300
A,EUR_HAB,DE213,54700
A,EUR_HAB,DE214,48800
A,EUR_HAB,DE215,35300
A,EUR_HAB,DE216,30600
A,EUR_HAB,DE217,30500
A,EUR_HAB,DE218,32500
A,EUR_HAB,DE219,36700
A,EUR_HAB,DE21A,32200
A,EUR_HAB,DE21B,51200
A,EUR_HAB,DE21C,27700
A,EUR_HAB,DE21D,31800
A,EUR_HAB,DE21E,36000
A,EUR_HAB,DE21F,39600
A,EUR_HAB,DE21G,36100
A,EUR_HAB,DE21H,116400
A,EUR_HAB,DE21I,38800
A,EUR_HAB,DE21J,36900
A,EUR_HAB,DE21K,34500
A,EUR_HAB,DE21L,47000
A,EUR_HAB,DE21M,41800
A,EUR_HAB,DE21N,42100
A,EUR_HAB,DE22,40500
A,EUR_HAB,DE221,60900
A,EUR_HAB,DE222,68600
A,EUR_HAB,DE223,56700
A,EUR_HAB,DE224,41700
A,EUR_HAB,DE225,31500
A,EUR_HAB,DE226,32700
A,EUR_HAB,DE227,37800
A,EUR_HAB,DE228,31300
A,EUR_HAB,DE229,35000
