freq,unit,geo,2019
A,EUR_HAB,DE,41800
A,EUR_HAB,DE1,47400
A,EUR_HAB,DE11,53300
A,EUR_HAB,DE111,88100
A,EUR_HAB,DE112,62500
A,EUR_HAB,DE113,43100
A,EUR_HAB,DE114,33700
A,EUR_HAB,DE115,46000
A,EUR_HAB,DE116,36500
A,EUR_HAB,DE117,59000
A,EUR_HAB,DE118,60200
A,EUR_HAB,DE119,52800
A,EUR_HAB,DE11A,46900
A,EUR_HAB,DE11B,41000
A,EUR_HAB,DE11C,38000
A,EUR_HAB,DE11D,46000
A,EUR_HAB,DE12,46000
A,EUR_HAB,DE121,57400
A,EUR_HAB,DE122,68200
A,EUR_HAB,DE123,39300
A,EUR_HAB,DE124,42900
A,EUR_HAB,DE125,58900
A,EUR_HAB,DE126,68300
A,EUR_HAB,DE127,31800
A,EUR_HAB,DE128,38100
A,EUR_HAB,DE129,41500
A,EUR_HAB,DE12A,29900
A,EUR_HAB,DE12B,31500
A,EUR_HAB,DE12C,41200
A,EUR_HAB,DE13,40000
A,EUR_HAB,DE131,55500
A,EUR_HAB,DE132,31200
A,EUR_HAB,DE133,33800
A,EUR_HAB,DE134,42500
A,EUR_HAB,DE135,44600
A,EUR_HAB,DE136,40300
A,EUR_HAB,DE137,51100
A,EUR_HAB,DE138,36400
A,EUR_HAB,DE139,34900
A,EUR_HAB,DE13A,31800
A,EUR_HAB,DE14,45500
A,EUR_HAB,DE141,42100
A,EUR_HAB,DE142,34500
A,EUR_HAB,DE143,36400
A,EUR_HAB,DE144,80400
A,EUR_HAB,DE145,34000
A,EUR_HAB,DE146,55500
A,EUR_HAB,DE147,50900
A,EUR_HAB,DE148,48400
A,EUR_HAB,DE149,38500
A,EUR_HAB,DE2,49200
A,EUR_HAB,DE21,61100
A,EUR_HAB,DE211,137600
A,EUR_HAB,DE212,84300
A,EUR_HAB,DE213,54700
A,EUR_HAB,DE214,48800
A,EUR_HAB,DE215,35300
A,EUR_HAB,DE216,30600
A,EUR_HAB,DE217,30500
A,EUR_HAB,DE218,32500
A,EUR_HAB,DE219,36700
A,EUR_HAB,DE21A,32200
A,EUR_HAB,DE21B,51200
A,EUR_HAB,DE21C,27700
A,EUR_HAB,DE21D,31800
A,EUR_HAB,DE21E,36000
A,EUR_HAB,DE21F,39600
A,EUR_HAB,DE21G,36100
A,EUR_HAB,DE21H,116400
A,EUR_HAB,DE21I,38800
A,EUR_HAB,DE21J,36900
A,EUR_HAB,DE21K,34500
A,EUR_HAB,DE21L,47000
A,EUR_HAB,DE21M,41800
A,EUR_HAB,DE21N,42100
A,EUR_HAB,DE22,40500
A,EUR_HAB,DE221,60900
A,EUR_HAB,DE222,68600
A,EUR_HAB,DE223,56700
A,EUR_HAB,DE224,41700
A,EUR_HAB,DE225,31500
A,EUR_HAB,DE226,32700
A,EUR_HAB,DE227,37800
A,EUR_HAB,DE228,31300
A,EUR_HAB,DE229,35000
A,EUR_HAB,DE22A,34400
A,EUR_HAB,DE22B,29000
A,EUR_HAB,DE22C,64900
A,EUR_HAB,DE23,43900
A,EUR_HAB,DE231,64100
A,EUR_HAB,DE232,88900
A,EUR_HAB,DE233,58100
A,EUR_HAB,DE234,28400
A,EUR_HAB,DE235,39100
A,EUR_HAB,DE236,39200
A,EUR_HAB,DE237,33400
A,EUR_HAB,DE238,26300
A,EUR_HAB,DE239,37800
A,EUR_HAB,DE23A,40800
A,EUR_HAB,DE24,39400
A,EUR_HAB,DE241,63700
A,EUR_HAB,DE242,65100
A,EUR_HAB,DE243,99800
A,EUR_HAB,DE244,43800
A,EUR_HAB,DE245,27300
A,EUR_HAB,DE246,22900
A,EUR_HAB,DE247,28200
A,EUR_HAB,DE248,33800
A,EUR_HAB,DE249,35900
A,EUR_HAB,DE24A,33800
A,EUR_HAB,DE24B,36000
A,EUR_HAB,DE24C,35600
A,EUR_HAB,DE24D,37300
A,EUR_HAB,DE25,46800
A,EUR_HAB,DE251,59700
A,EUR_HAB,DE252,101200
A,EUR_HAB,DE253,38400
A,EUR_HAB,DE254,63300
A,EUR_HAB,DE255,38300
A,EUR_HAB,DE256,32100
A,EUR_HAB,DE257,39200
A,EUR_HAB,DE258,23900
A,EUR_HAB,DE259,32700
A,EUR_HAB,DE25A,31600
A,EUR_HAB,DE25B,31100
A,EUR_HAB,DE25C,32400
A,EUR_HAB,DE26,41900
A,EUR_HAB,DE261,76200
A,EUR_HAB,DE262,101700
A,EUR_HAB,DE263,67500
A,EUR_HAB,DE264,34800
A,EUR_HAB,DE265,33500
A,EUR_HAB,DE266,42200
A,EUR_HAB,DE267,33000
A,EUR_HAB,DE268,37100
A,EUR_HAB,DE269,34900
A,EUR_HAB,DE26A,38000
A,EUR_HAB,DE26B,22900
A,EUR_HAB,DE26C,29600
A,EUR_HAB,DE27,41100
A,EUR_HAB,DE271,51000
A,EUR_HAB,DE272,38000
A,EUR_HAB,DE273,55100
A,EUR_HAB,DE274,62400
A,EUR_HAB,DE275,28600
A,EUR_HAB,DE276,31800
A,EUR_HAB,DE277,35900
A,EUR_HAB,DE278,48000
A,EUR_HAB,DE279,39600
A,EUR_HAB,DE27A,39300
A,EUR_HAB,DE27B,37800
A,EUR_HAB,DE27C,39200
A,EUR_HAB,DE27D,51300
A,EUR_HAB,DE27E,33500
A,EUR_HAB,DE3,43000
A,EUR_HAB,DE30,43000
A,EUR_HAB,DE300,43000
A,EUR_HAB,DE4,30200
A,EUR_HAB,DE40,30200
A,EUR_HAB,DE401,33400
A,EUR_HAB,DE402,36500
A,EUR_HAB,DE403,39000
A,EUR_HAB,DE404,44800
A,EUR_HAB,DE405,23100
A,EUR_HAB,DE406,33400
A,EUR_HAB,DE407,25800
A,EUR_HAB,DE408,21800
A,EUR_HAB,DE409,22600
A,EUR_HAB,DE40A,27100
A,EUR_HAB,DE40B,28600
A,EUR_HAB,DE40C,27700
A,EUR_HAB,DE40D,28700
A,EUR_HAB,DE40E,27300
A,EUR_HAB,DE40F,27900
A,EUR_HAB,DE40G,36700
A,EUR_HAB,DE40H,39000
A,EUR_HAB,DE40I,31100
A,EUR_HAB,DE5,48700
A,EUR_HAB,DE50,48700
A,EUR_HAB,DE501,51400
A,EUR_HAB,DE502,35000
A,EUR_HAB,DE6,67700
A,EUR_HAB,DE60,67700
A,EUR_HAB,DE600,67700
A,EUR_HAB,DE7,47100
